UTC	Lat	Long	P	T	Hu	Ws	Wd	Alt	D	Rs
20:34:36	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:37	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:38	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:39	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:40	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:41	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:42	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:43	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:44	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:45	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:46	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:47	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:48	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:49	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:50	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:51	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:52	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:53	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:54	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:55	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:34:56	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
