UTC	Lat	Long	P	T	Hu	Ws	Wd	Alt	D	Rs
17:40:23	29.532560	-99.685599	963.5	25.3	79	0.9	048	420	1.124859	-9999.9
17:40:24	29.532556	-99.685621	962.8	24.5	79	2.6	017	429	1.127127	-9999.9
17:40:25	29.532553	-99.685643	962.1	24.4	78	2.6	017	437	1.126758	-9999.9
17:40:26	29.532549	-99.685665	961.4	24.3	78	2.6	017	443	1.126229	-9999.9
17:40:27	29.532546	-99.685687	960.7	24.3	78	2.6	017	448	1.125551	-9999.9
17:40:28	29.532542	-99.685709	960.0	24.2	79	2.6	017	454	1.124984	-9999.9
17:40:29	29.532539	-99.685731	959.3	24.1	79	2.4	022	459	1.124506	-9999.9
17:40:30	29.532535	-99.685753	958.8	24.0	79	2.5	111	464	1.124225	-9999.9
17:40:31	29.532532	-99.685775	958.3	24.0	79	2.5	111	469	1.123826	-9999.9
17:40:32	29.532528	-99.685797	957.8	23.9	80	2.5	111	473	1.123300	-9999.9
17:40:33	29.532525	-99.685819	957.3	23.9	80	2.5	111	478	1.122803	-9999.9
17:40:34	29.532521	-99.685841	956.8	23.9	80	2.5	111	483	1.122361	-9999.9
17:40:35	29.532518	-99.685863	956.2	23.8	80	2.5	111	487	1.121951	-9999.9
17:40:36	29.532514	-99.685885	955.8	23.8	80	2.5	111	492	1.121611	-9999.9
17:40:37	29.532511	-99.685907	955.3	23.7	81	2.5	111	496	1.121272	-9999.9
17:40:38	29.532507	-99.685929	954.8	23.6	81	2.5	111	501	1.120905	-9999.9
17:40:39	29.532504	-99.685952	954.3	23.6	81	2.5	111	505	1.120473	-9999.9
17:40:40	29.532502	-99.685975	953.8	23.6	81	2.5	111	509	1.119980	-9999.9
17:40:41	29.532499	-99.685999	953.4	23.6	81	2.5	111	514	1.119485	-9999.9
17:40:42	29.532496	-99.686022	952.8	23.6	82	2.3	105	518	1.118969	-9999.9
17:40:43	29.532493	-99.686045	952.3	23.5	82	2.3	101	523	1.118478	-9999.9
17:40:44	29.532490	-99.686069	951.8	23.5	82	2.2	098	528	1.117986	-9999.9
17:40:45	29.532487	-99.686092	951.3	23.4	82	2.2	095	533	1.117500	-9999.9
17:40:46	29.532484	-99.686115	950.7	23.4	82	2.1	094	538	1.117024	-9999.9
17:40:47	29.532481	-99.686138	950.2	23.4	82	2.1	093	543	1.116564	-9999.9
17:40:48	29.532478	-99.686162	949.7	23.3	83	2.1	091	548	1.116136	-9999.9
17:40:49	29.532475	-99.686185	949.2	23.3	83	2.1	091	553	1.115722	-9999.9
17:40:50	29.532472	-99.686208	948.7	23.2	83	2.1	090	557	1.115313	-9999.9
17:40:51	29.532469	-99.686231	948.1	23.2	83	2.1	090	562	1.114904	-9999.9
17:40:52	29.532466	-99.686255	947.6	23.1	83	2.0	081	567	1.114473	-9999.9
17:40:53	29.532463	-99.686278	947.1	23.1	83	2.0	081	571	1.114023	-9999.9
17:40:54	29.532460	-99.686301	946.6	23.0	83	2.0	081	576	1.113614	-9999.9
17:40:55	29.532457	-99.686324	946.2	23.0	84	2.3	080	580	1.113218	-9999.9
17:40:56	29.532454	-99.686348	945.7	23.0	84	2.4	079	585	1.112833	-9999.9
